Vin,Files,Dipole_1,Dipole_2,Dipole_3,AC_1,AC_2,AC_3,Vout
-0.802818086024275,Combo10_Cf1tc_-8.68080_8.68080_ck-1.out,-1.73327,-5.80904,0.05016,0.704336,-0.0367239999999998,0.332388,0.228021801847113
-0.722536277421847,Combo10_Cf1tc_-7.81272_7.81272_ck-1.out,-1.91631,-5.33342,0.03756,0.7022,-0.00522400000000001,0.303023,0.212340553637911
-0.642254468819419,Combo10_Cf1tc_-6.94464_6.94464_ck-1.out,-2.03186,-4.99301,0.0428,0.674943,0.0254849999999999,0.299571,0.200085987672272
-0.561972660216992,Combo10_Cf1tc_-6.07656_6.07656_ck-1.out,-2.14093,-4.66128,0.04872,0.691216,0.0295970000000004,0.279187,0.188051265075547
-0.481690851614565,Combo10_Cf1tc_-5.20848_5.20848_ck-1.out,-2.24918,-4.32715,0.05476,0.668301,0.0191129999999998,0.312588,0.175762684899229
-0.401409043012137,Combo10_Cf1tc_-4.34040_4.34040_ck-1.out,-2.36137,-3.97865,0.06037,0.605862,0.079026,0.315112,0.162849774843204
-0.321127234409709,Combo10_Cf1tc_-3.47232_3.47232_ck-1.out,-2.47895,-3.6086,0.06491,0.590132,0.0577920000000001,0.352077,0.149069096267831
-0.240845425807282,Combo10_Cf1tc_-2.60424_2.60424_ck-1.out,-2.60036,-3.20983,0.06972,0.524039,0.0946930000000001,0.38127,0.134092490516138
-0.160563617204855,Combo10_Cf1tc_-1.73616_1.73616_ck-1.out,-2.73468,-2.75385,0.07309,0.493649,0.108833,0.397521,0.11686460970297
-0.0802818086024274,Combo10_Cf1tc_-0.86808_0.86808_ck-1.out,-2.89005,-2.18731,0.07498,0.468971,0.130879,0.400151,0.0953288859919657
-0.0401409043012137,Combo10_Cf1tc_-0.43404_0.43404_ck-1.out,-2.98133,-1.83459,0.07517,0.416426,0.194156,0.389418,0.0817584054702822
-0.0200704521506068,Combo10_Cf1tc_-0.21702_0.21702_ck-1.out,-3.04523,-1.5332,0.07428,0.381815,0.218818,0.399363,0.070057145860009
-0.0100352260753034,Combo10_Cf1tc_-0.10851_0.10851_ck-1.out,-3.07776,-1.37612,0.0737,0.36788,0.220324,0.411793,0.0639491373034062
-0.00501807544784779,Combo10_Cf1tc_-0.05426_0.05426_ck-1.out,-3.0918,-1.30196,0.07348,0.354208,0.215064,0.430725,0.0610548220525013
0,Combo10_Cf1tc_0.00000_0.00000_ck-1.out,-3.11872,-1.14212,0.07307,0.353714,0.215946,0.430343,0.0547640089539259
0.00501807544784779,Combo10_Cf1tc_0.05426_-0.05426_ck-1.out,-3.13986,-1.01481,0.07245,0.335309,0.24071,0.423981,0.049786222877676
0.0100352260753034,Combo10_Cf1tc_0.10851_-0.10851_ck-1.out,-3.16716,-0.80797,0.07111,0.3282,0.262391,0.409406,0.0416949584116715
0.0200704521506068,Combo10_Cf1tc_0.21702_-0.21702_ck-1.out,-3.13051,1.23439,0.05241,0.153656,0.403481,0.442861,-0.0395682483253665
0.0401409043012137,Combo10_Cf1tc_0.43404_-0.43404_ck-1.out,-3.00925,1.8562,0.0441,0.161891,0.416138,0.42197,-0.0644062953245075
0.0802818086024274,Combo10_Cf1tc_0.86808_-0.86808_ck-1.out,-2.87926,2.40149,0.03559,0.125097,0.465196,0.40971,-0.0859755003560965
0.160563617204855,Combo10_Cf1tc_1.73616_-1.73616_ck-1.out,-2.69756,3.06012,0.02538,0.106398,0.516896,0.376703,-0.111894113196348
0.240845425807282,Combo10_Cf1tc_2.60424_-2.60424_ck-1.out,-2.5596,3.53451,0.01642,0.0900119999999999,0.587987,0.321997,-0.130375337728269
0.321127234409709,Combo10_Cf1tc_3.47232_-3.47232_ck-1.out,-2.43639,3.94255,0.00753,0.085238,0.595688,0.319072,-0.146122183284905
0.401409043012137,Combo10_Cf1tc_4.34040_-4.34040_ck-1.out,-2.32438,4.30511,-0.00109,0.0738050000000003,0.629055,0.297144,-0.160073899511994
0.481690851614565,Combo10_Cf1tc_5.20848_-5.20848_ck-1.out,-2.21634,4.64919,-0.0102,0.0377849999999999,0.645701,0.316513,-0.173181127954582
0.561972660216992,Combo10_Cf1tc_6.07656_-6.07656_ck-1.out,-2.11457,4.97299,-0.01951,0.0264969999999999,0.678208,0.295297,-0.185484244178355
0.642254468819419,Combo10_Cf1tc_6.94464_-6.94464_ck-1.out,-2.01569,5.28422,-0.02921,0.0271150000000001,0.69441,0.278472,-0.197280702070351
0.802818086024275,Combo10_Cf1tc_8.68080_-8.68080_ck-1.out,-1.82264,5.89036,-0.05114,0.0168549999999999,0.726878,0.256266,-0.220166581044339
