Vin,Files,Dipole_1,Dipole_2,Dipole_3,AC_1,AC_2,AC_3,Vout
-0.80378615777603,Combo10_Cf4tc_-8.68080_8.68080_ck-1.out,-1.72962,-6.08573,-0.85172,0.763776,-0.0506989999999999,0.286923,0.249532320472672
-0.723407541998427,Combo10_Cf4tc_-7.81272_7.81272_ck-1.out,-1.82964,-5.78384,-0.84466,0.739123,-0.028418,0.289295,0.238168045709252
-0.643028926220824,Combo10_Cf4tc_-6.94464_6.94464_ck-1.out,-1.92562,-5.48535,-0.83762,0.709609,-0.00325299999999995,0.293639,0.226991203530665
-0.562650310443221,Combo10_Cf4tc_-6.07656_6.07656_ck-1.out,-2.02499,-5.17273,-0.83243,0.695346,0.010255,0.294402,0.215395102835363
-0.482271694665618,Combo10_Cf4tc_-5.20848_5.20848_ck-1.out,-2.13083,-4.84972,-0.82843,0.688638,0.0118740000000001,0.299484,0.203268291853435
-0.401893078888015,Combo10_Cf4tc_-4.34040_4.34040_ck-1.out,-2.23903,-4.50518,-0.8256,0.638641,0.040723,0.320633,0.190255865889867
-0.321514463110412,Combo10_Cf4tc_-3.47232_3.47232_ck-1.out,-2.35243,-4.13334,-0.82359,0.629662,0.0310270000000003,0.33931,0.176142077175782
-0.241135847332809,Combo10_Cf4tc_-2.60424_2.60424_ck-1.out,-2.47186,-3.72399,-0.8227,0.577156,0.090656,0.332191,0.160551250278757
-0.160757231555206,Combo10_Cf4tc_-1.73616_1.73616_ck-1.out,-2.60545,-3.26445,-0.82381,0.535473,0.107373,0.357155,0.142832981030825
-0.080378615777603,Combo10_Cf4tc_-0.86808_0.86808_ck-1.out,-2.76067,-2.69775,-0.8267,0.480565,0.148672,0.370759,0.120698051055702
-0.0401893078888015,Combo10_Cf4tc_-0.43404_0.43404_ck-1.out,-2.85582,-2.3284,-0.82921,0.452334,0.138681,0.408987,0.106214592518192
-0.0200946539444007,Combo10_Cf4tc_-0.21702_0.21702_ck-1.out,-2.91215,-2.08016,-0.83046,0.438691,0.148729,0.412581,0.0964464269471317
-0.0100473269722004,Combo10_Cf4tc_-0.10851_0.10851_ck-1.out,-2.93881,-1.95597,-0.83107,0.436403,0.148812,0.414778,0.0915479918118549
-0.00502412645388989,Combo10_Cf4tc_-0.05426_0.05426_ck-1.out,-2.9556,-1.88013,-0.83163,0.42453,0.158532,0.416938,0.0885209531820579
0,Combo10_Cf4tc_0.00000_-0.00000_ck-1.out,-3.10024,-1.1943,-0.83889,0.363087,0.20824,0.428676,0.0611252942906533
0.00502412645388989,Combo10_Cf4tc_0.05426_-0.05426_ck-1.out,-3.15216,-0.76575,-0.83934,0.325881,0.23564,0.438473,0.0439136888489229
0.0100473269722004,Combo10_Cf4tc_0.10851_-0.10851_ck-1.out,-3.01894,1.00863,-0.81554,0.202701,0.379614,0.417684,-0.0265782706422213
0.0200946539444007,Combo10_Cf4tc_0.21702_-0.21702_ck-1.out,-2.94297,1.44302,-0.80816,0.189658,0.406535,0.40381,-0.0437163609747624
0.0401893078888015,Combo10_Cf4tc_0.43404_-0.43404_ck-1.out,-2.8568,1.82382,-0.80113,0.169981,0.43608,0.393941,-0.0585192878108947
0.080378615777603,Combo10_Cf4tc_0.86808_-0.86808_ck-1.out,-2.73852,2.29955,-0.79258,0.156061,0.473993,0.36995,-0.0770545336025723
0.160757231555206,Combo10_Cf4tc_1.73616_-1.73616_ck-1.out,-2.56583,2.93841,-0.78258,0.131054,0.523968,0.344975,-0.101420612757824
0.241135847332809,Combo10_Cf4tc_2.60424_-2.60424_ck-1.out,-2.43048,3.42441,-0.77636,0.11849,0.515696,0.365811,-0.119800387199229
0.321514463110412,Combo10_Cf4tc_3.47232_-3.47232_ck-1.out,-2.30167,3.86717,-0.77308,0.0698810000000002,0.594681,0.335432,-0.136205897345802
0.482271694665618,Combo10_Cf4tc_5.20848_-5.20848_ck-1.out,-2.06838,4.61821,-0.77074,0.03543,0.666493,0.298076,-0.163724629878265
0.562650310443221,Combo10_Cf4tc_6.07656_-6.07656_ck-1.out,-1.96077,4.95585,-0.77277,0.0332030000000003,0.684756,0.28204,-0.175958421323694
0.643028926220824,Combo10_Cf4tc_6.94464_-6.94464_ck-1.out,-1.85721,5.27881,-0.7773,0.0401029999999999,0.697271,0.262621,-0.18770103526707
0.723407541998427,Combo10_Cf4tc_7.81272_-7.81272_ck-1.out,-1.75251,5.59961,-0.78344,0.0142500000000004,0.727521,0.258227,-0.199279053514618
0.80378615777603,Combo10_Cf4tc_8.68080_-8.68080_ck-1.out,-1.57564,6.07954,-0.81738,-0.0235149999999998,0.774275,0.249242,-0.213869332697076
