x_axis	media_AC1	media_AC2	media_AC3	AC4	x_axis_dip	media_dip1	media_dip2	media_dip3
-0.80378615777603	0.735790878032843	-0.0426732018520443	0.306881077314718	0	-0.80378615777603	-1.70593680858255	-5.97308736528344	-0.390528055898212
-0.723407541998427	0.717012220116354	-0.0119562509833343	0.294943031731983	0	-0.723407541998427	-1.8638055566187	-5.53445609610985	-0.375004822752534
-0.643028926220824	0.689762504435645	0.0140638001098897	0.29617319477288	0	-0.643028926220824	-1.97123920712554	-5.18793598243777	-0.366401503342982
-0.562650310443221	0.670287438687604	0.0322785035513213	0.297435557795797	0	-0.562650310443221	-2.08218707985123	-4.83861998100145	-0.360394372063739
-0.482271694665618	0.662164804165493	0.0266163773552086	0.311217819317817	0	-0.482271694665618	-2.18928051957955	-4.5042788824075	-0.357594334560058
-0.401893078888015	0.610575017414391	0.0670489955416727	0.32237324050473	0	-0.401893078888015	-2.30065907389442	-4.15474891668634	-0.355430634784145
-0.321514463110412	0.587643866799325	0.0706383707331634	0.341716268636501	0	-0.321514463110412	-2.41648207594559	-3.78417183555564	-0.353969414744996
-0.241135847332809	0.553261329290259	0.0965734541814345	0.350167716539881	0	-0.241135847332809	-2.53947890803322	-3.37939525734527	-0.352809553399156
-0.160757231555206	0.499727449664023	0.129660977941977	0.370611327573224	0	-0.160757231555206	-2.67587920257766	-2.91910918713173	-0.352470126990855
-0.080378615777603	0.458828477105827	0.160527246341239	0.38064302924622	0	-0.080378615777603	-2.83647681041577	-2.34432256265108	-0.35274597469374
-0.0401893078888015	0.419586425916719	0.17530966086849	0.405104664118635	0	-0.0401893078888015	-2.93782264881443	-1.94788319261629	-0.352771494901269
-0.0200946539444007	0.396175863838231	0.188437642872973	0.415386240759114	0	-0.0200946539444007	-3.00339875597418	-1.65669615820693	-0.353019551680379
-0.0100473269722004	0.38108007404189	0.197705660884562	0.42121226263057	0	-0.0100473269722004	-3.04156057895023	-1.46597013626502	-0.352672361186965
-0.00502412645388989	0.357133728514286	0.212513949013903	0.430352565433699	0	-0.00502412645388989	-3.07062820029764	-1.28510606111742	-0.35213335661725
0	0.307643063188919	0.265740443154358	0.426618744482884	0	0	-3.09776143274787	-0.487700010456727	-0.35054156396925
0.00502412645388989	0.290405038331431	0.280579932956141	0.429014027953159	0	0.00502412645388989	-3.11558441861092	-0.293338170710902	-0.350803087998523
0.0100473269722004	0.257693457839788	0.321478313348464	0.420827227128039	0	0.0100473269722004	-3.09490576580696	0.299235148557552	-0.345344973269547
0.0200946539444007	0.172196134000059	0.404854814639751	0.422948801336259	0	0.0200946539444007	-3.04534150840848	1.52235437456571	-0.349415347067184
0.0401893078888015	0.162310750348306	0.427902851402179	0.409786397321739	0	0.0401893078888015	-2.95206450180188	1.96864711572543	-0.348985663484038
0.080378615777603	0.141512191106107	0.46056629301334	0.397924264902363	0	0.080378615777603	-2.83913581043847	2.43413905078056	-0.348240365422259
0.160757231555206	0.103100432092979	0.525374471089296	0.371523593349477	0	0.160757231555206	-2.66523455468029	3.06126208828894	-0.347091596017758
0.241135847332809	0.0943732219710221	0.552714219122573	0.352911303715606	0	0.241135847332809	-2.52851318186746	3.52869780354836	-0.347073763284168
0.321514463110412	0.0648369654551853	0.593823933371847	0.341336349447082	0	0.321514463110412	-2.40508119443339	3.93953291752068	-0.348105051752038
0.482271694665618	0.0550829982662132	0.634882068618563	0.310035938450598	0	0.482271694665618	-2.23724736790002	4.47879900208921	-0.346250639835393
0.562650310443221	0.0354366824476163	0.662790087482393	0.301772728308599	0	0.562650310443221	-2.10235829914942	4.89827851471697	-0.351812465607607
0.643028926220824	0.0181080196383548	0.69095750592181	0.290933476229278	0	0.643028926220824	-2.00090603779351	5.21700552945119	-0.35535943686512
0.723407541998427	-0.00065028620485688	0.715908002608246	0.284741031020632	0	0.723407541998427	-1.90053537403359	5.5280653324718	-0.359073301449999
0.80378615777603	-0.00985063522287419	0.739677606618906	0.270172526713694	0	0.80378615777603	-1.75957183022313	5.95126830673679	-0.37328446657053
