Vin,Files,Dipole_1,Dipole_2,Dipole_3,AC_1,AC_2,AC_3,Vout
-0.804108907098412,Combo10_Cf2tc_-8.68080_8.68080_ck-1.out,-1.66012,-5.8443,-0.48553,0.703492,0.0100809999999997,0.286426,0.224810207751132
-0.723698016388571,Combo10_Cf2tc_-7.81272_7.81272_ck-1.out,-1.84791,-5.35352,-0.45084,0.697298,-0.00348699999999991,0.306188,0.209825508941363
-0.643287125678729,Combo10_Cf2tc_-6.94464_6.94464_ck-1.out,-1.95462,-5.02891,-0.43611,0.683232,0.0223239999999998,0.294448,0.199146953945851
-0.562876234968888,Combo10_Cf2tc_-6.07656_6.07656_ck-1.out,-2.06142,-4.70293,-0.42133,0.67104,0.0277020000000004,0.301261,0.188346337762681
-0.482465344259047,Combo10_Cf2tc_-5.20848_5.20848_ck-1.out,-2.16851,-4.3699,-0.40667,0.66798,0.028373,0.303644,0.177290161241302
-0.402054453549206,Combo10_Cf2tc_-4.34040_4.34040_ck-1.out,-2.28251,-4.0219,-0.39126,0.621748,0.079743,0.298505,0.165638185873885
-0.321643562839365,Combo10_Cf2tc_-3.47232_3.47232_ck-1.out,-2.40055,-3.65197,-0.37571,0.576969,0.11598,0.307051,0.153129875526487
-0.241232672129523,Combo10_Cf2tc_-2.60424_2.60424_ck-1.out,-2.52927,-3.24373,-0.35953,0.556446,0.106059,0.337498,0.139117268790194
-0.160821781419682,Combo10_Cf2tc_-1.73616_1.73616_ck-1.out,-2.67268,-2.77326,-0.34233,0.451267,0.152872,0.395859,0.122599377964955
-0.0804108907098412,Combo10_Cf2tc_-0.86808_0.86808_ck-1.out,-2.84585,-2.17035,-0.32327,0.386996,0.226486,0.386518,0.101140777342478
-0.0402054453549206,Combo10_Cf2tc_-0.43404_0.43404_ck-1.out,-2.96793,-1.67277,-0.31094,0.374643,0.207809,0.41755,0.0830665695669581
-0.0201027226774603,Combo10_Cf2tc_-0.21702_0.21702_ck-1.out,-3.04676,-1.32243,-0.30412,0.335184,0.230981,0.433838,0.0699247861116488
-0.0100513613387301,Combo10_Cf2tc_-0.10851_0.10851_ck-1.out,-3.10599,-0.98589,-0.29867,0.300667,0.251357,0.447978,0.0572539652528101
-0.00502614382305315,Combo10_Cf2tc_-0.05426_0.05426_ck-1.out,-3.16213,-0.56894,-0.29397,0.254093,0.285311,0.460595,0.0414218597884519
0,Combo10_Cf2tc_0.00000_-0.00000_ck-1.out,-3.0703,1.61127,-0.27812,0.146624,0.431786,0.421591,-0.042458580601116
0.00502614382305315,Combo10_Cf2tc_0.05426_-0.05426_ck-1.out,-3.04978,1.72474,-0.27644,0.149259,0.429789,0.420953,-0.04672844273954
0.0100513613387301,Combo10_Cf2tc_0.10851_-0.10851_ck-1.out,-3.02887,1.8287,-0.27468,0.165927,0.418173,0.415901,-0.0506141249965202
0.0201027226774603,Combo10_Cf2tc_0.21702_-0.21702_ck-1.out,-2.98862,2.00405,-0.27285,0.153849,0.429843,0.416308,-0.0572307350693342
0.0402054453549206,Combo10_Cf2tc_0.43404_-0.43404_ck-1.out,-2.92658,2.27352,-0.2677,0.155264,0.442897,0.401838,-0.0670701595422671
0.0804108907098412,Combo10_Cf2tc_0.86808_-0.86808_ck-1.out,-2.83386,2.65442,-0.25897,0.144955,0.459752,0.395293,-0.0807250021776664
0.160821781419682,Combo10_Cf2tc_1.73616_-1.73616_ck-1.out,-2.6752,3.22395,-0.24297,0.0848559999999999,0.536163,0.37898,-0.10066645127877
0.241232672129523,Combo10_Cf2tc_2.60424_-2.60424_ck-1.out,-2.54354,3.66657,-0.22845,0.084436,0.553443,0.362121,-0.115941224440826
0.321643562839365,Combo10_Cf2tc_3.47232_-3.47232_ck-1.out,-2.42811,4.05799,-0.21437,0.051681,0.590165,0.358151,-0.129069733572354
0.482465344259047,Combo10_Cf2tc_5.20848_-5.20848_ck-1.out,-2.21634,4.74547,-0.18795,0.0758609999999998,0.616072,0.30807,-0.151633598195518
0.562876234968888,Combo10_Cf2tc_6.07656_-6.07656_ck-1.out,-2.11449,5.06942,-0.17558,0.0337879999999999,0.669406,0.296805,-0.161920275709203
0.643287125678729,Combo10_Cf2tc_6.94464_-6.94464_ck-1.out,-2.01592,5.38478,-0.16376,-0.00801699999999977,0.685924,0.322092,-0.171768365121278
0.723698016388571,Combo10_Cf2tc_7.81272_-7.81272_ck-1.out,-1.92156,5.68876,-0.15238,-0.0401339999999997,0.712256,0.327878,-0.181170972910266
0.804108907098412,Combo10_Cf2tc_8.68080_-8.68080_ck-1.out,-1.82624,5.99672,-0.14243,-0.0218339999999997,0.720801,0.301029,-0.190697814607969
