73
Generated with autochar tool
 C -5.20466789 -0.05055003 -0.10478998
 C -5.88693156 0.48685823 -1.18754232
 C -7.27209664 0.50947313 -1.18437254
 C -7.98275986 -0.01034676 -0.10227145
 C -7.28387591 -0.55124715 0.97917972
 C -5.89953804 -0.56688879 0.98145248
 S -9.73672595 -0.01719321 -0.02351726
 N -3.77620675 -0.05628288 -0.10227145
 C -2.96737662 1.10232740 -0.10015389
 C -1.62005276 0.71367925 -0.08112834
 C -1.61452130 -0.74526510 -0.05250296
 C -2.98702901 -1.15218509 -0.07335910
 C -0.61977677 1.67387953 -0.04073270
 C -0.98979999 3.01681969 -0.03725541
 C -2.34275066 3.38335375 -0.06265466
 C -3.35243245 2.43276711 -0.08257191
 C -3.35174658 -2.51418136 -0.08256733
 C -2.35159552 -3.44494610 -0.07038272
 C -0.98074522 -3.05751881 -0.02978697
 C -0.62371721 -1.68675379 -0.01893085
 N 0.00000000 4.01445070 -0.00000000
 C 0.07075410 5.05592862 0.93343073
 C 1.19651127 5.84731046 0.64420999
 C 1.83651439 5.26139877 -0.52451223
 C 1.07397320 4.13675616 -0.88908832
 N -0.00000000 -4.01445070 0.00000000
 C 0.00321501 -5.23510840 -0.72536952
 C 1.19987776 -5.91400790 -0.44819753
 C 1.96263726 -5.09100136 0.49016251
 C 1.20552971 -3.93748878 0.74394309
 C 1.39322657 3.36493102 -2.00155742
 C 2.50981654 3.73150033 -2.73815750
 C 3.28785372 4.83751595 -2.38063965
 C 2.95357513 5.60912862 -1.27924855
 C 1.49247403 6.94274729 1.45195478
 C 0.66778769 7.22622729 2.52848967
 C -0.43962549 6.41919742 2.81005389
 C -0.75363233 5.32261759 2.02170532
 C 1.47388154 -7.11832755 -1.07354890
 C 0.54925100 -7.62301588 -1.98257448
 C -0.61568057 -6.91830460 -2.28125077
 C -0.90354836 -5.70505614 -1.66670769
 C 1.60073932 -2.99280666 1.68281052
 C 2.82292798 -3.19228149 2.31411708
 C 3.60574607 -4.31187695 2.03717856
 C 3.17430197 -5.27855086 1.13348506
 H -5.33504577 0.88355113 -2.03234644
 H -7.79958080 0.92932245 -2.03276079
 H -7.82771635 -0.94954419 1.82841010
 H -5.35800688 -0.96654418 1.83190521
 H -9.95226586 0.57336418 -1.20386977
 H 0.42937084 1.40620430 0.00381358
 H -2.59309466 4.43720988 -0.07222496
 H -4.39537014 2.72411862 -0.09241766
 H -4.39303489 -2.81060450 -0.07716331
 H -2.59588889 -4.49724946 -0.01980020
 H 0.42014170 -1.40447468 -0.05581113
 H 0.78521707 2.51910628 -2.29960319
 H 2.78013602 3.15039061 -3.61295319
 H 4.15411490 5.09627303 -2.97825795
 H 3.54956143 6.47481168 -1.01181951
 H 2.35706795 7.56334486 1.24328283
 H 0.88350225 8.07694423 3.16425977
 H -1.06600204 6.65283371 3.66373325
 H -1.60561479 4.69640489 2.25752288
 H 2.39520152 -7.65145919 -0.86951736
 H 0.74524325 -8.56519727 -2.48051344
 H -1.30769562 -7.31459124 -3.01485601
 H -1.79054022 -5.15248249 -1.94460560
 H 0.98468866 -2.14420356 1.94723326
 H 3.16282703 -2.46850965 3.04526973
 H 4.55170585 -4.44071349 2.54972829
 H 3.76914024 -6.16549410 0.94806495

